    1/tcp     tcpmux              TCP Port Service Multiplexer 
 1418/tcp     timbuktu-srv2       Timbuktu Service 2 Port 
 1419/tcp     timbuktu-srv3       Timbuktu Service 3 Port 
 1420/tcp     timbuktu-srv4       Timbuktu Service 4 Port 
 1421/tcp     gandalf-lm          Gandalf License Manager 
 1422/tcp     autodesk-lm         Autodesk License Manager 
 1423/tcp     essbase             Essbase Arbor Software 
 1424/tcp     hybrid              Hybrid Encryption Protocol 
 1425/tcp     zion-lm             Zion Software License Manager 
 1426/tcp     sais                Satellite-data Acquisition System 1 
 1427/tcp     mloadd              mloadd monitoring tool 
 1428/tcp     informatik-lm       Informatik License Manager 
 1429/tcp     nms                 Hypercom NMS 
 1430/tcp     tpdu                Hypercom TPDU 
 1431/tcp     rgtp                Reverse Gossip Transport 
 1432/tcp     blueberry-lm        Blueberry Software License Manager 
 1433/tcp     ms-sql-s            Microsoft-SQL-Server 
 1434/tcp     ms-sql-m            Microsoft-SQL-Monitor 
 1435/tcp     ibm-cics            IBM CICS 
 1436/tcp     saism               Satellite-data Acquisition System 2 
 1437/tcp     tabula              Tabula 
 1438/tcp     eicon-server        Eicon Security Agent/Server 
 1439/tcp     eicon-x25           Eicon X25/SNA Gateway 
 1440/tcp     eicon-slp           Eicon Service Location Protocol 
 1441/tcp     cadis-1             Cadis License Management 
 1442/tcp     cadis-2             Cadis License Management 
 1443/tcp     ies-lm              Integrated Engineering Software 
 1444/tcp     marcam-lm           Marcam License Management 
 1445/tcp     proxima-lm          Proxima License Manager 
 1446/tcp     ora-lm              Optical Research Associates License Manager 
 1447/tcp     apri-lm             Applied Parallel Research LM 
 1448/tcp     oc-lm               OpenConnect License Manager 
 1449/tcp     peport              PEport 
 1450/tcp     dwf                 Tandem Distributed Workbench Facility 
 1451/tcp     infoman             IBM Information Management 
 1452/tcp     gtegsc-lm           GTE Government Systems License Man 
 1453/tcp     genie-lm            Genie License Manager 
 1454/tcp     interhdl_elmd       interHDL License Manager 
 1455/tcp     esl-lm              ESL License Manager 
 1456/tcp     dca                 DCA 
 1457/tcp     valisys-lm          Valisys License Manager 
 1458/tcp     nrcabq-lm           Nichols Research Corp. 
 1459/tcp     proshare1           Proshare Notebook Application 
 1460/tcp     proshare2           Proshare Notebook Application 
 1461/tcp     ibm_wrless_lan      IBM Wireless LAN 
 1462/tcp     world-lm            World License Manager 
 1463/tcp     nucleus             Nucleus 
 1464/tcp     msl_lmd             MSL License Manager 
 1465/tcp     pipes               Pipes Platform 
 1466/tcp     oceansoft-lm        Ocean Software License Manager 
 1467/tcp     csdmbase            CSDMBASE 
 1468/tcp     csdm                CSDM 
 1469/tcp     aal-lm              Active Analysis Limited License Manager 
 1470/tcp     uaiact              Universal Analytics 
 1471/tcp     csdmbase            csdmbase 
 1472/tcp     csdm                csdm 
 1473/tcp     openmath            OpenMath 
 1474/tcp     telefinder          Telefinder 
 1475/tcp     taligent-lm         Taligent License Manager 
 1476/tcp     clvm-cfg            clvm-cfg 
 1477/tcp     ms-sna-server       ms-sna-server 
 1478/tcp     ms-sna-base         ms-sna-base 
 1479/tcp     dberegister         dberegister 
 1480/tcp     pacerforum          PacerForum 
 1481/tcp     airs                AIRS 
 1482/tcp     miteksys-lm         Miteksys License Manager 
 1483/tcp     afs                 AFS License Manager 
 1484/tcp     confluent           Confluent License Manager 
 1485/tcp     lansource           LANSource 
 1486/tcp     nms_topo_serv       nms_topo_serv 
 1487/tcp     localinfosrvr       LocalInfoSrvr 
 1488/tcp     docstor             DocStor 
 1489/tcp     dmdocbroker         dmdocbroker 
 1490/tcp     insitu-conf         insitu-conf 
 1491/tcp     anynetgateway       anynetgateway 
 1492/tcp     stone-design-1      stone-design-1 
 1493/tcp     netmap_lm           netmap_lm 
 1494/tcp     ica                 ica 
 1495/tcp     cvc                 cvc 
 1496/tcp     liberty-lm          liberty-lm 
 1497/tcp     rfx-lm              rfx-lm 
 1498/tcp     sybase-sqlany       Sybase SQL Any 
 1499/tcp     fhc                 Federico Heinz Consultora 
 1500/tcp     vlsi-lm             VLSI License Manager 
 1501/tcp     saiscm              Satellite-data Acquisition System 3 
 1502/tcp     shivadiscovery      Shiva 
 1503/tcp     imtc-mcs            Databeam 
 1504/tcp     evb-elm             EVB Software Engineering License Manager 
 1505/tcp     funkproxy           Funk Software, Inc. 
 1506/tcp     utcd                Universal Time daemon (utcd) 
 1507/tcp     symplex             symplex 
 1508/tcp     diagmond            diagmond 
 1509/tcp     robcad-lm           Robcad, Ltd. License Manager 
 1510/tcp     mvx-lm              Midland Valley Exploration Ltd. Lic. Man. 
 1511/tcp     3l-l1               3l-l1 
 1512/tcp     wins                Microsoft's Windows Internet Name Service 
 1513/tcp     fujitsu-dtc         Fujitsu Systems Business of America, Inc 
 1514/tcp     fujitsu-dtcns       Fujitsu Systems Business of America, Inc 
 1515/tcp     ifor-protocol       ifor-protocol 
 1516/tcp     vpad                Virtual Places Audio data 
 1517/tcp     vpac                Virtual Places Audio control 
 1518/tcp     vpvd                Virtual Places Video data 
 1519/tcp     vpvc                Virtual Places Video control 
 1520/tcp     atm-zip-office      atm zip office 
 1521/tcp     ncube-lm            nCube License Manager 
 1522/tcp     ricardo-lm          Ricardo North America License Manager 
 1523/tcp     cichild-lm          cichild 
 1525/tcp     orasrv              oracle 
 1525/tcp     prospero-np         Prospero Directory Service non-priv 
 1526/tcp     pdap-np             Prospero Data Access Prot non-priv 
 1527/tcp     tlisrv              oracle 
 1528/tcp     mciautoreg          micautoreg 
 1529/tcp     coauthor            oracle 
 1530/tcp     rap-service         rap-service 
 1531/tcp     rap-listen          rap-listen 
 1532/tcp     miroconnect         miroconnect 
 1533/tcp     virtual-places      Virtual Places Software 
 1534/tcp     micromuse-lm        micromuse-lm 
 1535/tcp     ampr-info           ampr-info 
 1536/tcp     ampr-inter          ampr-inter 
 1537/tcp     sdsc-lm             isi-lm 
 1538/tcp     3ds-lm              3ds-lm 
 1539/tcp     intellistor-lm      Intellistor License Manager 
 1540/tcp     rds                 rds 
 1541/tcp     rds2                rds2 
 1542/tcp     gridgen-elmd        gridgen-elmd 
 1543/tcp     simba-cs            simba-cs 
 1544/tcp     aspeclmd            aspeclmd 
 1545/tcp     vistium-share       vistium-share 
 1546/tcp     abbaccuray          abbaccuray 
 1547/tcp     laplink             laplink 
 1548/tcp     axon-lm             Axon License Manager 
 1549/tcp     shivahose           Shiva Hose 
 1550/tcp     3m-image-lm         Image Storage license manager 3M Company 
 1551/tcp     hecmtl-db           HECMTL-DB 
 1552/tcp     pciarray            pciarray 
 1553/tcp     sna-cs              sna-cs 
 1554/tcp     caci-lm             CACI Products Company License Manager 
 1555/tcp     livelan             livelan 
 1556/tcp     ashwin              AshWin CI Tecnologies 
 1557/tcp     arbortext-lm        ArborText License Manager 
 1558/tcp     xingmpeg            xingmpeg 
 1559/tcp     web2host            web2host 
 1560/tcp     asci-val            asci-val 
 1561/tcp     facilityview        facilityview 
 1562/tcp     pconnectmgr         pconnectmgr 
 1563/tcp     cadabra-lm          Cadabra License Manager 
 1564/tcp     pay-per-view        Pay-Per-View 
 1565/tcp     winddlb             WinDD 
 1566/tcp     corelvideo          CORELVIDEO 
 1567/tcp     jlicelmd            jlicelmd 
 1568/tcp     tsspmap             tsspmap 
 1569/tcp     ets                 ets 
 1570/tcp     orbixd              orbixd 
 1571/tcp     rdb-dbs-disp        Oracle Remote Data Base 
 1572/tcp     chip-lm             Chipcom License Manager 
 1573/tcp     itscomm-ns          itscomm-ns 
 1574/tcp     mvel-lm             mvel-lm 
 1575/tcp     oraclenames         oraclenames 
 1576/tcp     moldflow-lm         moldflow-lm 
 1577/tcp     hypercube-lm        hypercube-lm 
 1578/tcp     jacobus-lm          Jacobus License Manager 
 1579/tcp     ioc-sea-lm          ioc-sea-lm 
 1580/tcp     tn-tl-r1            tn-tl-r1 
 1581/tcp     mil-2045-47001      MIL-2045-47001 
 1582/tcp     msims               MSIMS 
 1583/tcp     simbaexpress        simbaexpress 
 1584/tcp     tn-tl-fd2           tn-tl-fd2 
 1585/tcp     intv                intv 
 1586/tcp     ibm-abtact          ibm-abtact 
 1587/tcp     pra_elmd            pra_elmd 
 1588/tcp     triquest-lm         triquest-lm 
 1589/tcp     vqp                 VQP 
 1590/tcp     gemini-lm           gemini-lm 
 1591/tcp     ncpm-pm             ncpm-pm 
 1592/tcp     commonspace         commonspace 
 1593/tcp     mainsoft-lm         mainsoft-lm 
 1594/tcp     sixtrak             sixtrak 
 1595/tcp     radio               radio 
 1596/tcp     radio-sm            radio-sm 
 1597/tcp     orbplus-iiop        orbplus-iiop 
 1598/tcp     picknfs             picknfs 
 1599/tcp     simbaservices       simbaservices 
 1600/tcp     issd                
 1601/tcp     aas                 aas 
 1602/tcp     inspect             inspect 
 1603/tcp     picodbc             pickodbc 
 1604/tcp     icabrowser          icabrowser 
 1605/tcp     slp                 Salutation Manager (Salutation Protocol) 
 1606/tcp     slm-api             Salutation Manager (SLM-API) 
 1607/tcp     stt                 stt 
 1608/tcp     smart-lm            Smart Corp. License Manager 
 1609/tcp     isysg-lm            isysg-lm 
 1610/tcp     taurus-wh           taurus-wh 
 1611/tcp     ill                 Inter Library Loan 
 1612/tcp     netbill-trans       NetBill Transaction Server 
 1613/tcp     netbill-keyrep      NetBill Key Repository 
 1614/tcp     netbill-cred        NetBill Credential Server 
 1615/tcp     netbill-auth        NetBill Authorization Server 
 1616/tcp     netbill-prod        NetBill Product Server 
 1617/tcp     nimrod-agent        Nimrod Inter-Agent Communication 
 1618/tcp     skytelnet           skytelnet 
 1619/tcp     xs-openstorage      xs-openstorage 
 1620/tcp     faxportwinport      faxportwinport 
 1621/tcp     softdataphone       softdataphone 
 1622/tcp     ontime              ontime 
 1623/tcp     jaleosnd            jaleosnd 
 1624/tcp     udp-sr-port         udp-sr-port 
 1625/tcp     svs-omagent         svs-omagent 
 1636/tcp     cncp                CableNet Control Protocol 
 1637/tcp     cnap                CableNet Admin Protocol 
 1638/tcp     cnip                CableNet Info Protocol 
 1639/tcp     cert-initiator      cert-initiator 
 1640/tcp     cert-responder      cert-responder 
 1641/tcp     invision            InVision 
 1642/tcp     isis-am             isis-am 
 1643/tcp     isis-ambc           isis-ambc 
 1645/tcp     datametrics         datametrics 
 1646/tcp     sa-msg-port         sa-msg-port 
 1647/tcp     rsap                rsap 
 1648/tcp     concurrent-lm       concurrent-lm 
 1649/tcp     inspect             inspect 
 1650/tcp     nkd                 nkd 
 1651/tcp     shiva_confsrvr      shiva_confsrvr 
 1652/tcp     xnmp                xnmp 
 1653/tcp     alphatech-lm        alphatech-lm 
 1654/tcp     stargatealerts      stargatealerts 
 1655/tcp     dec-mbadmin         dec-mbadmin 
 1656/tcp     dec-mbadmin-h       dec-mbadmin-h 
 1657/tcp     fujitsu-mmpdc       fujitsu-mmpdc 
 1658/tcp     sixnetudr           sixnetudr 
 1659/tcp     sg-lm               Silicon Grail License Manager 
 1660/tcp     skip-mc-gikreq      skip-mc-gikreq 
 1661/tcp     netview-aix-1       netview-aix-1 
 1662/tcp     netview-aix-2       netview-aix-2 
 1663/tcp     netview-aix-3       netview-aix-3 
 1664/tcp     netview-aix-4       netview-aix-4 
 1665/tcp     netview-aix-5       netview-aix-5 
 1666/tcp     netview-aix-6       netview-aix-6 
 1667/tcp     netview-aix-7       netview-aix-7 
 1668/tcp     netview-aix-8       netview-aix-8 
 1669/tcp     netview-aix-9       netview-aix-9 
 1670/tcp     netview-aix-10      netview-aix-10 
 1671/tcp     netview-aix-11      netview-aix-11 
 1672/tcp     netview-aix-12      netview-aix-12 
 1673/tcp     proshare-mc-1       Intel Proshare Multicast 
 1674/tcp     proshare-mc-2       Intel Proshare Multicast 
 1675/tcp     pdp                 Pacific Data Products 
 1676/tcp     netcomm1            netcomm1 
 1677/tcp     groupwise           groupwise 
 1678/tcp     prolink             prolink 
 1679/tcp     darcorp-lm          darcorp-lm 
 1681/tcp     sd-elmd             sd-elmd 
 1682/tcp     lanyon-lantern      lanyon-lantern 
 1683/tcp     ncpm-hip            ncpm-hip 
 1684/tcp     snaresecure         SnareSecure 
 1685/tcp     n2nremote           n2nremote 
 1686/tcp     cvmon               cvmon 
 1687/tcp     nsjtp-ctrl          nsjtp-ctrl 
 1688/tcp     nsjtp-data          nsjtp-data 
 1689/tcp     firefox             firefox 
 1690/tcp     ng-umds             ng-umds 
 1691/tcp     empire-empuma       empire-empuma 
 1692/tcp     sstsys-lm           sstsys-lm 
 1693/tcp     rrirtr              rrirtr 
 1694/tcp     rrimwm              rrimwm 
 1695/tcp     rrilwm              rrilwm 
 1696/tcp     rrifmm              rrifmm 
 1697/tcp     rrisat              rrisat 
 1698/tcp     rsvp-encap-1        RSVP-ENCAPSULATION-1 
 1699/tcp     rsvp-encap-2        RSVP-ENCAPSULATION-2 
 1700/tcp     mps-raft            mps-raft 
 1701/tcp     l2f,l2tp            l2f,l2tp 
 1702/tcp     deskshare           deskshare 
 1703/tcp     hb-engine           hb-engine 
 1704/tcp     bcs-broker          bcs-broker 
 1705/tcp     slingshot           slingshot 
 1706/tcp     jetform             jetform 
 1707/tcp     vdmplay             vdmplay 
 1708/tcp     gat-lmd             gat-lmd 
 1709/tcp     centra              centra 
 1710/tcp     impera              impera 
 1711/tcp     pptconference       pptconference 
 1712/tcp     registrar           resource monitoring service 
 1713/tcp     conferencetalk      ConferenceTalk 
 1714/tcp     sesi-lm             sesi-lm 
 1715/tcp     houdini-lm          houdini-lm 
 1716/tcp     xmsg                xmsg 
 1717/tcp     fj-hdnet            fj-hdnet 
 1718/tcp     h323gatedisc        h323gatedisc 
 1719/tcp     h323gatestat        h323gatestat 
 1720/tcp     h323hostcall        h323hostcall 
 1721/tcp     caicci              caicci 
 1722/tcp     hks-lm              HKS License Manager 
 1723/tcp     pptp                pptp 
 1724/tcp     csbphonemaster      csbphonemaster 
 1725/tcp     iden-ralp           iden-ralp 
 1726/tcp     iberiagames         IBERIAGAMES 
 1727/tcp     winddx              winddx 
 1728/tcp     telindus            TELINDUS 
 1729/tcp     citynl              CityNL License Management 
 1730/tcp     roketz              roketz 
 1731/tcp     msiccp              MSICCP 
 1732/tcp     proxim              proxim 
 1733/tcp     siipat              SIMS - SIIPAT Protocol for Alarm Transmission 
 1734/tcp     cambertx-lm         Camber Corporation License Management 
 1735/tcp     privatechat         PrivateChat 
 1736/tcp     street-stream       street-stream 
 1737/tcp     ultimad             ultimad 
 1738/tcp     gamegen1            GameGen1 
 1739/tcp     webaccess           webaccess 
 1740/tcp     encore              encore 
 1741/tcp     cisco-net-mgmt      cisco-net-mgmt 
 1742/tcp     3Com-nsd            3Com-nsd 
 1743/tcp     cinegrfx-lm         Cinema Graphics License Manager 
 1744/tcp     ncpm-ft             ncpm-ft 
 1745/tcp     remote-winsock      remote-winsock 
 1746/tcp     ftrapid-1           ftrapid-1 
 1747/tcp     ftrapid-2           ftrapid-2 
 1748/tcp     oracle-em1          oracle-em1 
 1749/tcp     aspen-services      aspen-services 
 1750/tcp     sslp                Simple Socket Library's PortMaster 
 1751/tcp     swiftnet            SwiftNet 
 1752/tcp     lofr-lm             Leap of Faith Research License Manager 
 1753/tcp     translogic-lm       Translogic License Manager 
 1754/tcp     oracle-em2          oracle-em2 
 1755/tcp     ms-streaming        ms-streaming 
 1756/tcp     capfast-lmd         capfast-lmd 
 1757/tcp     cnhrp               cnhrp 
 1758/tcp     tftp-mcast          tftp-mcast 
 1759/tcp     spss-lm             SPSS License Manager 
 1760/tcp     www-ldap-gw         www-ldap-gw 
 1761/tcp     cft-0               cft-0 
 1762/tcp     cft-1               cft-1 
 1763/tcp     cft-2               cft-2 
 1764/tcp     cft-3               cft-3 
 1765/tcp     cft-4               cft-4 
 1766/tcp     cft-5               cft-5 
 1767/tcp     cft-6               cft-6 
 1768/tcp     cft-7               cft-7 
 1769/tcp     bmc-net-adm         bmc-net-adm 
 1770/tcp     bmc-net-svc         bmc-net-svc 
 1771/tcp     vaultbase           vaultbase 
 1772/tcp     essweb-gw           EssWeb Gateway 
 1773/tcp     kmscontrol          KMSControl 
 1774/tcp     global-dtserv       global-dtserv 
 1776/tcp     femis               Federal Emergency Management Information System 
 1777/tcp     powerguardian       powerguardian 
 1779/tcp     pharmasoft          pharmasoft 
 1780/tcp     dpkeyserv           dpkeyserv 
 1781/tcp     answersoft-lm       answersoft-lm 
 1782/tcp     hp-hcip             hp-hcip 
 1783/tcp     fjris               Fujitsu Remote Install Service 
 1784/tcp     finle-lm            Finle License Manager 
 1785/tcp     windlm              Wind River Systems License Manager 
 1786/tcp     funk-logger         funk-logger 
 1787/tcp     funk-license        funk-license 
 1788/tcp     psmond              psmond 
 1789/tcp     hello               hello 
 1790/tcp     nmsp                Narrative Media Streaming Protocol 
 1791/tcp     ea1                 EA1 
 1792/tcp     ibm-dt-2            ibm-dt-2 
 1793/tcp     rsc-robot           rsc-robot 
 1794/tcp     cera-bcm            cera-bcm 
 1795/tcp     dpi-proxy           dpi-proxy 
 1796/tcp     vocaltec-admin      Vocaltec Server Administration 
 1797/tcp     uma                 UMA 
 1798/tcp     etp                 Event Transfer Protocol 
 1799/tcp     netrisk             NETRISK 
 1801/tcp     msmq                Microsoft Message Que 
 1804/tcp     enl                 ENL 
 1807/tcp     fhsp                Fujitsu Hot Standby Protocol 
 1812/tcp     radius              RADIUS 
 1813/tcp     radius-acct         RADIUS Accounting 
 1814/tcp     tdp-suite           TDP Suite 
 1815/tcp     mmpft               MMPFT 
 1816/tcp     harp                HARP 
 1818/tcp     etftp               Enhanced Trivial File Transfer Protocol 
 1819/tcp     plato-lm            Plato License Manager 
 1820/tcp     mcagent             mcagent 
 1821/tcp     donnyworld          donnyworld 
 1822/tcp     es-elmd             es-elmd 
 1823/tcp     unisys-lm           Unisys Natural Language License Manager 
 1824/tcp     metrics-pas         metrics-pas 
 1850/tcp     gsi                 GSI 
 1863/tcp     msnp                MSNP 
 1865/tcp     entp                ENTP 
 1901/tcp     fjicl-tep-a         Fujitsu ICL Terminal Emulator Program A 
 1902/tcp     fjicl-tep-b         Fujitsu ICL Terminal Emulator Program B 
 1903/tcp     linkname            Local Link Name Resolution 
 1904/tcp     fjicl-tep-c         Fujitsu ICL Terminal Emulator Program C 
 1905/tcp     sugp                Secure UP.Link Gateway Protocol 
 1906/tcp     tpmd                TPortMapperReq 
 1908/tcp     dawn                Dawn 
 1911/tcp     mtp                 Starlight Networks Multimedia Transport Protocol 
 1913/tcp     armadp              armadp 
 1914/tcp     elm-momentum        Elm-Momentum 
 1915/tcp     facelink            FACELINK 
 1916/tcp     persona             Persoft Persona 
 1917/tcp     noagent             nOAgent 
 1921/tcp     noadmin             NoAdmin 
 1944/tcp     close-combat        close-combat 
 1945/tcp     dialogic-elmd       dialogic-elmd 
 1946/tcp     tekpls              tekpls 
 1947/tcp     hlserver            hlserver 
 1948/tcp     eye2eye             eye2eye 
 1949/tcp     ismaeasdaqlive      ISMA Easdaq Live 
 1950/tcp     ismaeasdaqtest      ISMA Easdaq Test 
 1951/tcp     bcs-lmserver        bcs-lmserver 
 1973/tcp     dlsrap              Data Link Switching Remote Access Protocol 
 1985/tcp     hsrp                Hot Standby Router Protocol 
 1986/tcp     licensedaemon       cisco license management 
 1987/tcp     tr-rsrb-p1          cisco RSRB Priority 1 port 
 1988/tcp     tr-rsrb-p2          cisco RSRB Priority 2 port 
 1989/tcp     tr-rsrb-p3          cisco RSRB Priority 3 port 
 1989/tcp     mshnet              MHSnet system 
 1990/tcp     stun-p1             cisco STUN Priority 1 port 
 1991/tcp     stun-p2             cisco STUN Priority 2 port 
 1992/tcp     stun-p3             cisco STUN Priority 3 port 
 1992/tcp     ipsendmsg           IPsendmsg 
 1993/tcp     snmp-tcp-port       cisco SNMP TCP port 
 1994/tcp     stun-port           cisco serial tunnel port 
 1995/tcp     perf-port           cisco perf port 
 1996/tcp     tr-rsrb-port        cisco Remote SRB port 
 1997/tcp     gdp-port            cisco Gateway Discovery Protocol 
 1998/tcp     x25-svc-port        cisco X.25 service (XOT) 
 1999/tcp     tcp-id-port         cisco identification port 
 2000/tcp     callbook            
 2001/tcp     dc                  
 2002/tcp     globe               
 2004/tcp     mailbox             
 2005/tcp     berknet             
 2007/tcp     dectalk             
 2012/tcp     ttyinfo             
 2013/tcp     raid-am             
 2014/tcp     troff               
 2015/tcp     cypress             
 2025/tcp     ellpack             
 2030/tcp     device2             
 2032/tcp     blackboard          
 2033/tcp     glogger             
 2035/tcp     imsldoc             
 2040/tcp     lam                 
 2042/tcp     isis                isis 
 2044/tcp     rimsl               
 2045/tcp     cdfunc              
 2046/tcp     sdfunc              
 2047/tcp     dls                 
 2049/tcp     shilp               
 2049/tcp     nfs                 Network File System - Sun Microsystems 
 2065/tcp     dlsrpn              Data Link Switch Read Port Number 
 2067/tcp     dlswpn              Data Link Switch Write Port Number 
 2090/tcp     lrp                 Load Report Protocol 
 2091/tcp     prp                 PRP 
 2102/tcp     zephyr-srv          Zephyr server 
 2103/tcp     zephyr-clt          Zephyr serv-hm connection 
 2104/tcp     zephyr-hm           Zephyr hostmanager 
 2105/tcp     minipay             MiniPay 
 2200/tcp     ici                 ICI 
 2201/tcp     ats                 Advanced Training System Program 
 2213/tcp     kali                Kali 
 2222/tcp     unreg-ab2           Allen-Bradley unregistered port 
 2232/tcp     ivs-video           IVS Video default 
 2234/tcp     directplay          DirectPlay 
 2236/tcp     nani                Nani 
 2240/tcp     recipe              RECIPe 
 2241/tcp     ivsd                IVS Daemon 
 2242/tcp     foliocorp           Folio Remote Server 
 2279/tcp     xmquery             xmquery 
 2280/tcp     lnvpoller           LNVPOLLER 
 2281/tcp     lnvconsole          LNVCONSOLE 
 2282/tcp     lnvalarm            LNVALARM 
 2283/tcp     lnvstatus           LNVSTATUS 
 2284/tcp     lnvmaps             LNVMAPS 
 2285/tcp     lnvmailmon          LNVMAILMON 
 2286/tcp     nas-metering        NAS-Metering 
 2287/tcp     dna                 DNA 
 2288/tcp     netml               NETML 
 2300/tcp     cvmmon              CVMMON 
 2307/tcp     pehelp              pehelp 
 2308/tcp     sdhelp              sdhelp 
 2313/tcp     iapp                IAPP (Inter Access Point Protocol) 
 2316/tcp     sent-lm             SENT License Manager 
 2321/tcp     rdlap               RDLAP over UDP 
 2322/tcp     ofsd                ofsd 
 2323/tcp     3d-nfsd             3d-nfsd 
 2326/tcp     idcp                IDCP 
 2327/tcp     xingcsm             xingcsm 
 2329/tcp     nvd                 NVD 
 2330/tcp     tscchat             TSCCHAT 
 2333/tcp     snapp               SNAPP 
 2337/tcp     ideesrv             ideesrv 
 2344/tcp     fcmsys              fcmsys 
 2345/tcp     dbm                 dbm 
 2356/tcp     gxtelmd             GXT License Managemant 
 2358/tcp     futrix              Futrix 
 2390/tcp     rsmtp               RSMTP 
 2396/tcp     wusage              Wusage 
 2397/tcp     ncl                 NCL 
 2398/tcp     orbiter             Orbiter 
 2401/tcp     cvspserver          cvspserver 
 2407/tcp     orion               Orion 
 2412/tcp     cdn                 CDN 
 2415/tcp     comtest             COMTEST 
 2418/tcp     cas                 cas 
 2421/tcp     g-talk              G-Talk 
 2423/tcp     rnrp                RNRP 
 2427/tcp     stgcp               Simple telephony Gateway Control Protocol 
 2428/tcp     ott                 One Way Trip Time 
 2429/tcp     ft-role             FT-ROLE 
 2430/tcp     venus               venus 
 2432/tcp     codasrv             codasrv 
 2436/tcp     topx                TOP/X 
 2438/tcp     msp                 MSP 
 2443/tcp     powerclientcsf      PowerClient Central Storage Facility 
 2445/tcp     dtn1                DTN1 
 2447/tcp     ovwdb               OpenView NNM daemon 
 2449/tcp     ratl                RATL 
 2451/tcp     netchat             netchat 
 2458/tcp     griffin             griffin 
 2500/tcp     rtsserv             Resource Tracking system server 
 2501/tcp     rtsclient           Resource Tracking system client 
 2528/tcp     ncr_ccl             NCR CCL 
 2529/tcp     utsftp              UTS FTP 
 2532/tcp     ovtopmd             OVTOPMD 
 2592/tcp     netrek              netrek 
 2628/tcp     dict                DICT 
 2634/tcp     pk-electronics      PK Electronics 
 2636/tcp     solve               Solve 
 2639/tcp     aminet              AMInet 
 2641/tcp     hdl-srv             HDL Server 
 2642/tcp     tragic              Tragic 
 2646/tcp     and-lm              AND Licence Manager 
 2653/tcp     sonus               Sonus 
 2655/tcp     unglue              UNIX Nt Glue 
 2656/tcp     kana                Kana 
 2700/tcp     tqdata              tqdata 
 2784/tcp     www-dev             world wide web - development 
 2785/tcp     aic-np              aic-np 
 2786/tcp     aic-oncrpc          aic-oncrpc - Destiny MCD database 
 2787/tcp     piccolo             piccolo - Cornerstone Software 
 2788/tcp     fryeserv            NetWare Loadable Module - Seagate Software 
 2789/tcp     media-agent         Media Agent 
 2908/tcp     mao                 mao 
 2912/tcp     epicon              Epicon 
 2971/tcp     netclip             Net Clip 
 2974/tcp     signal              Signal 
 2975/tcp     fjmpcm              Fujitsu Configuration Management Service 
 3000/tcp     hbci                HBCI 
 3001/tcp     redwood-broker      Redwood Broker 
 3003/tcp     cgms                CGMS 
 3010/tcp     gw                  Telerate Workstation 
 3012/tcp     twsdss              Trusted Web Client 
 3020/tcp     cifs                CIFS 
 3047/tcp     hlserver            Fast Security HL Server 
 3048/tcp     pctrader            Sierra Net PC Trader 
 3049/tcp     nsws                NSWS 
 3105/tcp     cardbox             Cardbox 
 3130/tcp     icpv2               ICPv2 
 3141/tcp     vmodem              VMODEM 
 3143/tcp     seaview             Sea View 
 3147/tcp     rfio                RFIO 
 3264/tcp     ccmail              cc:mail/lotus 
 3266/tcp     ns-cfg-server       NS CFG Server 
 3267/tcp     ibm-dial-out        IBM Dial Out 
 3268/tcp     msft-gc             Microsoft Global Catalog 
 3273/tcp     sxmp                Simple Extensible Multiplexed Protocol 
 3275/tcp     samd                SAMD 
 3279/tcp     admind              admind 
 3281/tcp     sysopt              SYSOPT 
 3284/tcp     4talk               4Talk 
 3285/tcp     plato               Plato 
 3286/tcp     e-net               E-Net 
 3288/tcp     cops                COPS 
 3289/tcp     enpc                ENPC 
 3290/tcp     caps-lm             CAPS LOGISTICS TOOLKIT - LM 
 3291/tcp     sah-lm              S A Holditch & Associates - LM 
 3293/tcp     fg-fps              fg-fps 
 3294/tcp     fg-gip              fg-gip 
 3296/tcp     rib-slm             Rib License Manager 
 3299/tcp     pdrncs              pdrncs 
 3304/tcp     opsession-srvr      OP Session Server 
 3306/tcp     mysql               MySQL 
 3309/tcp     tns-adv             TNS ADV 
 3313/tcp     uorb                Unify Object Broker 
 3314/tcp     uohost              Unify Object Host 
 3315/tcp     cdid                CDID 
 3318/tcp     ssrip               Swith to Swith Routing Information Protocol 
 3319/tcp     sdt-lmd             SDT License Manager 
 3321/tcp     vnsstr              VNSSTR 
 3326/tcp     sftu                SFTU 
 3327/tcp     bbars               BBARS 
 3328/tcp     egptlm              Eaglepoint License Manager 
 3329/tcp     hp-device-disc      HP Device Disc 
 3330/tcp     mcs-calypsoicf      MCS Calypso ICF 
 3333/tcp     dec-notes           DEC Notes 
 3338/tcp     anet-b              OMF data b 
 3339/tcp     anet-l              OMF data l 
 3340/tcp     anet-m              OMF data m 
 3341/tcp     anet-h              OMF data h 
 3342/tcp     webtie              WebTIE 
 3351/tcp     btrieve             BTRIEVE 
 3352/tcp     ssql                SSQL 
 3353/tcp     fatpipe             FATPIPE 
 3354/tcp     suitjd              SUITJD 
 3362/tcp     dj-ilm              DJ ILM 
 3372/tcp     tip2                TIP 2 
 3378/tcp     wsicopy             WSICOPY 
 3379/tcp     socorfs             SOCORFS 
 3381/tcp     geneous             Geneous 
 3383/tcp     esp-lm              Enterprise Software Products License Manager 
 3390/tcp     dsc                 Distributed Service Coordinator 
 3391/tcp     savant              SAVANT 
 3392/tcp     efi-lm              EFI License Management 
